section,constraint_id,apply,stm_id,type,lb,ub,violation_cost,N,on_target,min,max,mean,sd,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
A,C01,ITM,,NUMBER,35.0,35.0,,5200,1.0,35.0,35.0,35.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5200
A,C02,ITM,,NUMBER,5.0,5.0,,5200,1.0,5.0,5.0,5.0,0.0,0,0,0,0,0,5200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,C03,ITM,,NUMBER,10.0,10.0,,5200,1.0,10.0,10.0,10.0,0.0,0,0,0,0,0,0,0,0,0,0,5200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,C04,ITM,,NUMBER,30.0,30.0,,5200,1.0,30.0,30.0,30.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5200,0,0,0,0,0
A,C05,ITM,,NUMBER,2.0,2.0,,5200,1.0,2.0,2.0,2.0,0.0,0,0,5200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,C06,ITM,,NUMBER,1.0,1.0,,5200,1.0,1.0,1.0,1.0,0.0,0,5200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,C07,ITM,,NUMBER,1.0,1.0,,5200,1.0,1.0,1.0,1.0,0.0,0,5200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,C08,ITM,,NUMBER,2.0,2.0,,5200,1.0,2.0,2.0,2.0,0.0,0,0,5200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,C09,ITM,,NUMBER,0.0,1.0,,5200,1.0,0.0,1.0,0.586,0.493,2154,3046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,C10,ITM,,NUMBER,0.0,1.0,,5200,1.0,0.0,1.0,0.978,0.146,114,5086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,C11,ITM,,NUMBER,0.0,1.0,,5200,1.0,0.0,1.0,0.451,0.498,2856,2344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
